Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,PLR_ID,PLR_NAME,BEZ,STAND,GROESSE_M2
,,,,,,"-1","0","-1",,,"03100103",Karower Chaussee,"03",01.01.2021,1875386.595
,,,,,,"-1","0","-1",,,"08100102",Schillerpromenade Nord,"08",01.01.2021,589643.475
,,,,,,"-1","0","-1",,,"01100310",Alexanderplatzviertel,"01",01.01.2021,1365216.178
,,,,,,"-1","0","-1",,,"02500833",Boxhagener Platz,"02",01.01.2021,340147.924
,,,,,,"-1","0","-1",,,"11300723",Bornitzstraße,"11",01.01.2021,497936.967
,,,,,,"-1","0","-1",,,"11501339",Karlshorst West,"11",01.01.2021,994186.449
,,,,,,"-1","0","-1",,,"03300514",Blankenburg,"03",01.01.2021,4719969.861
,,,,,,"-1","0","-1",,,"03601453",Alter Schlachthof,"03",01.01.2021,577288.26
,,,,,,"-1","0","-1",,,"12500930",Wittenau Mitte,"12",01.01.2021,1613716.435
,,,,,,"-1","0","-1",,,"12200310",Klixstraße,"12",01.01.2021,819510.933
,,,,,,"-1","0","-1",,,"04501147",Leon-Jessel-Platz,"04",01.01.2021,248608.958
,,,,,,"-1","0","-1",,,"08200832",Buckow Mitte,"08",01.01.2021,2032572.845
,,,,,,"-1","0","-1",,,"09100304",Baumschulenweg West,"09",01.01.2021,1613826.884
,,,,,,"-1","0","-1",,,"12400616",Konradshöhe/Tegelort,"12",01.01.2021,2336407.792
,,,,,,"-1","0","-1",,,"08100207",Rollberg,"08",01.01.2021,371774.258
,,,,,,"-1","0","-1",,,"10100206",Wuhletalstraße,"10",01.01.2021,845789.678
,,,,,,"-1","0","-1",,,"04500939",Eisenzahnstraße,"04",01.01.2021,757142.69
,,,,,,"-1","0","-1",,,"10200421",Helle Mitte,"10",01.01.2021,163851.514
,,,,,,"-1","0","-1",,,"04200204",Angerburger Allee,"04",01.01.2021,361436.949
,,,,,,"-1","0","-1",,,"07100205",Alvenslebenstraße,"07",01.01.2021,317584.653
,,,,,,"-1","0","-1",,,"07601236",Marienfelder Allee Nordwest,"07",01.01.2021,1147177.253
,,,,,,"-1","0","-1",,,"03601140",Malmöer Straße,"03",01.01.2021,280593.845
,,,,,,"-1","0","-1",,,"03400620",Schönholz,"03",01.01.2021,1909837.667
,,,,,,"-1","0","-1",,,"08401138",Goldhähnchenweg,"08",01.01.2021,133642.042
,,,,,,"-1","0","-1",,,"01100206",Unter den Linden,"01",01.01.2021,1297109.673
